,cluster_brand,Brand_id,cluster_no_brand
0,14,1,11
1,14,2,11
2,13,3,13
3,14,4,12
4,14,5,12
5,14,6,11
6,14,7,12
7,13,8,14
8,13,9,13
9,14,10,11
10,14,11,11
11,14,12,12
12,14,13,11
13,14,14,11
14,14,15,12
15,14,16,11
16,14,17,12
17,14,18,12
18,14,19,12
19,13,20,13
20,14,21,11
21,14,22,11
22,14,23,11
23,13,24,13
24,14,25,12
25,13,26,14
26,14,27,11
27,14,28,12
28,14,29,12
29,14,30,12
30,14,31,12
31,14,32,11
32,14,33,11
33,14,34,12
34,5,35,1
35,4,36,4
36,4,37,4
37,4,38,4
38,4,39,4
39,4,40,4
40,4,41,4
41,3,42,5
42,4,43,4
43,4,44,2
44,4,45,4
45,4,46,4
46,4,47,4
47,4,48,4
48,3,49,3
49,4,50,4
50,4,51,4
51,3,52,3
52,4,53,4
53,4,54,4
54,4,55,4
55,4,56,3
56,4,57,4
57,4,58,4
58,12,59,11
59,12,60,12
60,11,61,14
61,12,62,12
62,12,63,12
63,12,64,11
64,11,65,13
65,11,66,14
66,11,67,14
67,12,68,11
68,12,69,11
69,12,70,11
70,12,71,11
71,12,72,11
72,12,73,11
73,11,74,14
74,12,75,11
75,11,76,14
76,12,77,11
77,11,78,14
78,11,79,15
79,11,80,13
80,12,81,11
81,11,82,14
82,1,83,4
83,1,84,4
84,2,85,3
85,1,86,4
86,1,87,4
87,2,88,1
88,1,89,4
89,1,90,4
90,1,91,5
91,1,92,4
92,1,93,5
93,1,94,5
94,1,95,4
95,1,96,4
96,1,97,2
97,1,98,4
98,2,99,1
99,1,100,4
100,1,101,4
101,1,102,4
102,1,103,4
103,1,104,5
104,1,105,4
105,1,106,4
106,1,107,3
107,2,108,1
108,1,109,4
109,1,110,2
110,1,111,2
111,1,112,2
112,1,113,4
113,1,114,5
114,2,115,3
115,1,116,4
116,1,117,3
117,1,118,2
118,1,119,4
119,1,120,4
120,1,121,5
121,1,122,4
122,1,123,4
123,1,124,2
124,1,125,5
125,1,126,4
126,1,127,4
127,1,128,2
128,2,129,1
129,1,130,2
130,1,131,4
131,1,132,5
132,1,133,2
133,1,134,4
134,1,135,5
135,1,136,4
136,1,137,4
137,1,138,4
138,1,139,5
139,1,140,5
140,1,141,4
141,1,142,4
142,1,143,5
143,1,144,2
144,1,145,2
145,1,146,2
146,1,147,2
147,1,148,2
148,1,149,4
149,1,150,4
150,1,151,5
151,1,152,2
152,1,153,2
153,1,154,5
