,Brand_id,image_link
0,1,//media.gucci.com/style/DarkGray_Center_0_0_980x980/1713981741/800292_ZARRW_5467_001_100_0000_Light-Camicia-in-seta-con-stampa-GG-con-effetto-ottico.jpg
1,1,//media.gucci.com/style/DarkGray_Center_0_0_980x980/1713981743/800292_ZARRW_5467_004_100_0000_Light-Camicia-in-seta-con-stampa-GG-con-effetto-ottico.jpg
2,1,//media.gucci.com/style/DarkGray_Center_0_0_980x980/1713981744/800292_ZARRW_5467_005_100_0000_Light-Camicia-in-seta-con-stampa-GG-con-effetto-ottico.jpg
3,1,//media.gucci.com/style/White_Center_0_0_730x490/1713981741/800292_ZARRW_5467_001_100_0000_Light-Camicia-in-seta-con-stampa-GG-con-effetto-ottico.jpg
4,2,//media.gucci.com/style/DarkGray_Center_0_0_980x980/1716360456/797922_ZARGY_4903_001_100_0000_Light-Camicia-in-cotone-Oxford-GG-con-effetto-ottico.jpg
5,2,//media.gucci.com/style/DarkGray_Center_0_0_980x980/1716360458/797922_ZARGY_4903_004_100_0000_Light-Camicia-in-cotone-Oxford-GG-con-effetto-ottico.jpg
6,2,//media.gucci.com/style/DarkGray_Center_0_0_980x980/1716360459/797922_ZARGY_4903_005_100_0000_Light-Camicia-in-cotone-Oxford-GG-con-effetto-ottico.jpg
7,2,//media.gucci.com/style/White_Center_0_0_730x490/1716360456/797922_ZARGY_4903_001_100_0000_Light-Camicia-in-cotone-Oxford-GG-con-effetto-ottico.jpg
8,3,//media.gucci.com/style/DarkGray_Center_0_0_980x980/1712821642/788987_ZAQRX_6190_001_100_0000_Light-Top-corto-in-seta-con-stampa-Morsetto-e-righe-Gucci.jpg
9,3,//media.gucci.com/style/DarkGray_Center_0_0_980x980/1712821644/788987_ZAQRX_6190_004_100_0000_Light-Top-corto-in-seta-con-stampa-Morsetto-e-righe-Gucci.jpg
10,3,//media.gucci.com/style/DarkGray_Center_0_0_980x980/1712821645/788987_ZAQRX_6190_005_100_0000_Light-Top-corto-in-seta-con-stampa-Morsetto-e-righe-Gucci.jpg
11,3,//media.gucci.com/style/White_Center_0_0_730x490/1712821642/788987_ZAQRX_6190_001_100_0000_Light-Top-corto-in-seta-con-stampa-Morsetto-e-righe-Gucci.jpg
12,4,//media.gucci.com/style/DarkGray_Center_0_0_980x980/1713891711/788903_ZAM9M_5267_001_100_0000_Light-Camicia-in-cotone-Oxford-GG-Supreme.jpg
13,4,//media.gucci.com/style/DarkGray_Center_0_0_980x980/1713891713/788903_ZAM9M_5267_004_100_0000_Light-Camicia-in-cotone-Oxford-GG-Supreme.jpg
14,4,//media.gucci.com/style/DarkGray_Center_0_0_980x980/1713891714/788903_ZAM9M_5267_005_100_0000_Light-Camicia-in-cotone-Oxford-GG-Supreme.jpg
15,4,//media.gucci.com/style/White_Center_0_0_730x490/1713891711/788903_ZAM9M_5267_001_100_0000_Light-Camicia-in-cotone-Oxford-GG-Supreme.jpg
16,5,//media.gucci.com/style/DarkGray_Center_0_0_980x980/1712821568/788840_ZAJP1_9692_001_100_0000_Light-Camicia-in-popeline-di-cotone.jpg
17,5,//media.gucci.com/style/DarkGray_Center_0_0_980x980/1712821570/788840_ZAJP1_9692_004_100_0000_Light-Camicia-in-popeline-di-cotone.jpg
18,5,//media.gucci.com/style/DarkGray_Center_0_0_980x980/1712821571/788840_ZAJP1_9692_005_100_0000_Light-Camicia-in-popeline-di-cotone.jpg
19,5,//media.gucci.com/style/White_Center_0_0_730x490/1712821568/788840_ZAJP1_9692_001_100_0000_Light-Camicia-in-popeline-di-cotone.jpg
20,6,//media.gucci.com/style/DarkGray_Center_0_0_980x980/1712822418/791840_ZAQ1Q_6253_001_100_0000_Light-Camicia-in-seta-con-stampa-Morsetto.jpg
21,6,//media.gucci.com/style/DarkGray_Center_0_0_980x980/1712822421/791840_ZAQ1Q_6253_004_100_0000_Light-Camicia-in-seta-con-stampa-Morsetto.jpg
22,6,//media.gucci.com/style/DarkGray_Center_0_0_980x980/1712822422/791840_ZAQ1Q_6253_005_100_0000_Light-Camicia-in-seta-con-stampa-Morsetto.jpg
23,6,//media.gucci.com/style/White_Center_0_0_730x490/1712822418/791840_ZAQ1Q_6253_001_100_0000_Light-Camicia-in-seta-con-stampa-Morsetto.jpg
24,7,//media.gucci.com/style/DarkGray_Center_0_0_980x980/1712819711/739432_ZAMQ6_4474_001_100_0000_Light-Top-in-pizzo-floreale-con-Doppia-G.jpg
25,7,//media.gucci.com/style/DarkGray_Center_0_0_980x980/1712819714/739432_ZAMQ6_4474_004_100_0000_Light-Top-in-pizzo-floreale-con-Doppia-G.jpg
26,7,//media.gucci.com/style/DarkGray_Center_0_0_980x980/1712819714/739432_ZAMQ6_4474_005_100_0000_Light-Top-in-pizzo-floreale-con-Doppia-G.jpg
27,7,//media.gucci.com/style/White_Center_0_0_730x490/1712819711/739432_ZAMQ6_4474_001_100_0000_Light-Top-in-pizzo-floreale-con-Doppia-G.jpg
28,8,//media.gucci.com/style/DarkGray_Center_0_0_980x980/1712150225/788990_ZAQP7_9799_001_100_0000_Light-Maglia-in-pizzo-di-cotone-floreale-Gucci-con-stampa.jpg
29,8,//media.gucci.com/style/DarkGray_Center_0_0_980x980/1712150227/788990_ZAQP7_9799_004_100_0000_Light-Maglia-in-pizzo-di-cotone-floreale-Gucci-con-stampa.jpg
30,8,//media.gucci.com/style/DarkGray_Center_0_0_980x980/1712150228/788990_ZAQP7_9799_005_100_0000_Light-Maglia-in-pizzo-di-cotone-floreale-Gucci-con-stampa.jpg
31,8,//media.gucci.com/style/White_Center_0_0_730x490/1712150225/788990_ZAQP7_9799_001_100_0000_Light-Maglia-in-pizzo-di-cotone-floreale-Gucci-con-stampa.jpg
32,9,//media.gucci.com/style/DarkGray_Center_0_0_980x980/1712855777/788830_ZAQTG_9692_001_100_0000_Light-Camicia-in-popeline-di-cotone-con-ricamo.jpg
33,9,//media.gucci.com/style/DarkGray_Center_0_0_980x980/1712855780/788830_ZAQTG_9692_004_100_0000_Light-Camicia-in-popeline-di-cotone-con-ricamo.jpg
34,9,//media.gucci.com/style/DarkGray_Center_0_0_980x980/1712855781/788830_ZAQTG_9692_005_100_0000_Light-Camicia-in-popeline-di-cotone-con-ricamo.jpg
35,9,//media.gucci.com/style/White_Center_0_0_730x490/1712855777/788830_ZAQTG_9692_001_100_0000_Light-Camicia-in-popeline-di-cotone-con-ricamo.jpg
36,10,//media.gucci.com/style/DarkGray_Center_0_0_980x980/1709567112/761896_ZAPJ7_4066_001_100_0000_Light-Camicia-in-crpe-de-chine-e-seta.jpg
37,10,//media.gucci.com/style/DarkGray_Center_0_0_980x980/1709567114/761896_ZAPJ7_4066_004_100_0000_Light-Camicia-in-crpe-de-chine-e-seta.jpg
38,10,//media.gucci.com/style/DarkGray_Center_0_0_980x980/1709567115/761896_ZAPJ7_4066_005_100_0000_Light-Camicia-in-crpe-de-chine-e-seta.jpg
39,10,//media.gucci.com/style/Transparent_Center_0_0_730x490/1699551981/761896_ZAPJ7_9154_001_100_0000_Light.png
40,10,//media.gucci.com/style/Transparent_Center_0_0_730x490/1702543511/761896_ZAPJ7_1000_001_100_0000_Light.png
41,10,//media.gucci.com/style/White_Center_0_0_730x490/1709567112/761896_ZAPJ7_4066_001_100_0000_Light-Camicia-in-crpe-de-chine-e-seta.jpg
42,11,//media.gucci.com/style/DarkGray_Center_0_0_980x980/1712150220/788988_ZAQXT_2312_001_100_0000_Light-Top-in-gabardina-di-cotone-GG.jpg
43,11,//media.gucci.com/style/DarkGray_Center_0_0_980x980/1712150222/788988_ZAQXT_2312_004_100_0000_Light-Top-in-gabardina-di-cotone-GG.jpg
44,11,//media.gucci.com/style/DarkGray_Center_0_0_980x980/1712150223/788988_ZAQXT_2312_005_100_0000_Light-Top-in-gabardina-di-cotone-GG.jpg
45,11,//media.gucci.com/style/White_Center_0_0_730x490/1712150220/788988_ZAQXT_2312_001_100_0000_Light-Top-in-gabardina-di-cotone-GG.jpg
46,12,//media.gucci.com/style/DarkGray_Center_0_0_980x980/1709889372/784901_ZAQUK_2312_001_100_0000_Light-Camicia-in-gabardina-di-cotone-GG.jpg
47,12,//media.gucci.com/style/DarkGray_Center_0_0_980x980/1709890221/784901_ZAQUK_2312_004_100_0000_Light-Camicia-in-gabardina-di-cotone-GG.jpg
48,12,//media.gucci.com/style/DarkGray_Center_0_0_980x980/1709890222/784901_ZAQUK_2312_005_100_0000_Light-Camicia-in-gabardina-di-cotone-GG.jpg
49,12,//media.gucci.com/style/White_Center_0_0_730x490/1709889372/784901_ZAQUK_2312_001_100_0000_Light-Camicia-in-gabardina-di-cotone-GG.jpg
50,13,//media.gucci.com/style/DarkGray_Center_0_0_980x980/1717405203/784900_ZAQII_4421_001_100_0000_Light-Camicia-in-cotone-jacquard-gessato.jpg
51,13,//media.gucci.com/style/DarkGray_Center_0_0_980x980/1713892575/784900_ZAQII_4421_004_100_0000_Light-Camicia-in-cotone-jacquard-gessato.jpg
52,13,//media.gucci.com/style/DarkGray_Center_0_0_980x980/1713892576/784900_ZAQII_4421_005_100_0000_Light-Camicia-in-cotone-jacquard-gessato.jpg
53,13,//media.gucci.com/style/White_Center_0_0_730x490/1717405203/784900_ZAQII_4421_001_100_0000_Light-Camicia-in-cotone-jacquard-gessato.jpg
54,14,https://image.hm.com/assets/hm/f4/44/f4440ea4efb1fcab43e8ea84e1e1b9aa1c130fc4.jpg?imwidth=2160
55,14,https://image.hm.com/assets/hm/cb/3f/cb3f264626768b69da4ad681a143c06601c98457.jpg?imwidth=2160
56,15,https://image.hm.com/assets/hm/bc/99/bc997f4a155848028646243096c3d9f064e9815c.jpg?imwidth=2160
57,15,https://image.hm.com/assets/hm/ce/93/ce935bcf009fd14a2dd2db19213367dbc70e2e5e.jpg?imwidth=2160
58,16,https://image.hm.com/assets/hm/bc/99/bc997f4a155848028646243096c3d9f064e9815c.jpg?imwidth=2160
59,16,https://image.hm.com/assets/hm/ce/93/ce935bcf009fd14a2dd2db19213367dbc70e2e5e.jpg?imwidth=2160
60,17,https://image.hm.com/assets/hm/2a/cb/2acb0e582b2948c8daaa421ef5709ef7a87a857a.jpg?imwidth=2160
61,17,https://image.hm.com/assets/hm/74/52/745278ca563563e01f37a559c2873c499adf3a3a.jpg?imwidth=2160
62,18,https://image.hm.com/assets/hm/b2/c4/b2c451d388b28d34942a9d69da777fcbf9df1875.jpg?imwidth=2160
63,18,https://image.hm.com/assets/hm/ce/d1/ced14b85844477d851b7c96bddf8eeb6ba98936f.jpg?imwidth=2160
64,19,https://image.hm.com/assets/hm/7d/f1/7df147002006e6aa661781ca1aab87493fede417.jpg?imwidth=2160
65,19,https://image.hm.com/assets/hm/41/aa/41aa3fd888dd9c55faf5988651417f80629e7baf.jpg?imwidth=2160
66,20,https://image.hm.com/assets/hm/64/e5/64e575ec868c59263700db854477c56b6db21caf.jpg?imwidth=2160
67,20,https://image.hm.com/assets/hm/37/69/37690d9a17be5948d0b73bfbd7ed84ec9b60e276.jpg?imwidth=2160
68,21,https://image.hm.com/assets/hm/64/e5/64e575ec868c59263700db854477c56b6db21caf.jpg?imwidth=2160
69,21,https://image.hm.com/assets/hm/37/69/37690d9a17be5948d0b73bfbd7ed84ec9b60e276.jpg?imwidth=2160
70,22,https://image.hm.com/assets/hm/45/3a/453abf6d0897fa4f2622d7bcb624c48607e39fb7.jpg?imwidth=2160
71,22,https://image.hm.com/assets/hm/cc/e1/cce1f57275b7c6d71772a2bb2fd2384148480753.jpg?imwidth=2160
72,23,https://image.hm.com/assets/hm/72/ae/72ae2533829973905b519549a2d7345aad149e15.jpg?imwidth=2160
73,23,https://image.hm.com/assets/hm/68/b6/68b649ef9f6b8c4e0b54c761555360cb6461afff.jpg?imwidth=2160
74,24,https://image.hm.com/assets/hm/72/ae/72ae2533829973905b519549a2d7345aad149e15.jpg?imwidth=2160
75,24,https://image.hm.com/assets/hm/68/b6/68b649ef9f6b8c4e0b54c761555360cb6461afff.jpg?imwidth=2160
76,25,https://image.hm.com/assets/hm/64/df/64df4f9bafe5d6fbf5674466166be6474af91706.jpg?imwidth=2160
77,25,https://image.hm.com/assets/hm/72/3e/723eaa0bfa8583019bbb722ae6bbbada1c7855a7.jpg?imwidth=2160
78,26,https://image.hm.com/assets/hm/e6/ff/e6ff22a360dc637fec7f98b4cac222626eb648c4.jpg?imwidth=2160
79,26,https://image.hm.com/assets/hm/8e/e0/8ee0feca8432b08f374807d9426df54ec8bd621d.jpg?imwidth=2160
80,27,https://image.hm.com/assets/hm/0b/5e/0b5ea3a8377aa300e41f0fc4f7f18c44c23e21b9.jpg?imwidth=2160
81,27,https://image.hm.com/assets/hm/62/45/6245f57cded3bfb3780ee8cdfecc8e17a79dedf2.jpg?imwidth=2160
82,28,https://image.hm.com/assets/hm/0b/5e/0b5ea3a8377aa300e41f0fc4f7f18c44c23e21b9.jpg?imwidth=2160
83,28,https://image.hm.com/assets/hm/62/45/6245f57cded3bfb3780ee8cdfecc8e17a79dedf2.jpg?imwidth=2160
84,29,https://image.hm.com/assets/hm/3f/89/3f8990e429d95c0c85dae711278d050af4dfdc85.jpg?imwidth=2160
